"","number","date","time","ticker","price"
"9731",163368878,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
"9732",163368880,2018-02-20,"13:02:08","USD000UTSTOM",56.7275
"9733",163368890,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9734",163368882,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9735",163368883,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9736",163368884,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9737",163368885,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9738",163368887,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9739",163368888,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9740",163368889,2018-02-20,"13:02:09","USD000UTSTOM",56.7275
"9741",163368893,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9742",163368891,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9743",163368892,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9744",163368894,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9745",163368895,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9746",163368896,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9747",163368897,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9748",163368898,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9749",163368899,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9750",163368900,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9751",163368901,2018-02-20,"13:02:10","USD000UTSTOM",56.7275
"9752",163368902,2018-02-20,"13:02:10","USD000UTSTOM",56.73
"9753",163368903,2018-02-20,"13:02:10","USD000UTSTOM",56.73
"9754",163368904,2018-02-20,"13:02:10","USD000UTSTOM",56.73
"9755",163368914,2018-02-20,"13:02:11","USD000UTSTOM",56.7275
"9756",163368916,2018-02-20,"13:02:12","USD000UTSTOM",56.7225
"9757",163368917,2018-02-20,"13:02:12","USD000UTSTOM",56.7275
"9758",163368918,2018-02-20,"13:02:12","USD000UTSTOM",56.73
"9759",163368928,2018-02-20,"13:02:14","USD000UTSTOM",56.73
"9760",163368926,2018-02-20,"13:02:14","USD000UTSTOM",56.73
"9761",163368932,2018-02-20,"13:02:14","USD000UTSTOM",56.73
"9762",163368933,2018-02-20,"13:02:14","USD000UTSTOM",56.73
"9763",163368934,2018-02-20,"13:02:14","USD000UTSTOM",56.73
"9764",163368935,2018-02-20,"13:02:15","USD000UTSTOM",56.73
"9765",163368936,2018-02-20,"13:02:15","USD000UTSTOM",56.73
"9766",163368937,2018-02-20,"13:02:16","USD000UTSTOM",56.73
"9767",163368940,2018-02-20,"13:02:16","USD000UTSTOM",56.7275
"9768",163368941,2018-02-20,"13:02:16","USD000UTSTOM",56.73
"9769",163368942,2018-02-20,"13:02:16","USD000UTSTOM",56.73
"9770",163368943,2018-02-20,"13:02:16","USD000UTSTOM",56.73
"9771",163368944,2018-02-20,"13:02:16","USD000UTSTOM",56.73
"9772",163368949,2018-02-20,"13:02:17","USD000UTSTOM",56.7275
"9773",163368954,2018-02-20,"13:02:18","USD000UTSTOM",56.7275
"9774",163368955,2018-02-20,"13:02:18","USD000UTSTOM",56.73
"9775",163368956,2018-02-20,"13:02:18","USD000UTSTOM",56.73
"9776",163368957,2018-02-20,"13:02:18","USD000UTSTOM",56.73
"9777",163368962,2018-02-20,"13:02:18","USD000UTSTOM",56.725
"9778",163368963,2018-02-20,"13:02:18","USD000UTSTOM",56.725
"9779",163368964,2018-02-20,"13:02:18","USD000UTSTOM",56.725
